id,ism,familiya,otasining_ismi,tugilgan_sana,jins,email,telefon,shahar,manzil,passport_seriya,jshshir,millat,oilaviy_holat,ish_joyi,lavozim,ta'lim_darajasi,daromad,foydalanuvchi_turi,ro'yxatdan_o'tgan_sana
11,Jahongir,Aliyev,Gulbahor,1993-04-01,Erkak,timofeisaev@rao.ru,8 (357) 529-3739,Buxoro,"ш. Тульское, д. 9/1 стр. 22",AB1785588,60875914405252,Tojik,Ajrashgan,Beeline,Dasturchi,Magistr,27269522.0,admin,2024-07-23
12,Islom,Ergashev,Rayhona,1956-08-02,Erkak,,+73002662981,Xiva,"бул. Черноморский, д. 86",AB4309777,64113256298599,Qozoq,Ajrashgan,Yandex,Muhandis,Magistr,24945808.0,premium,2020-01-26
13,Dilnoza,Yusupova,Madina,1981-01-09,Ayol,,89165578943,Namangan,"наб. Локомотивная, д. 64",AE8513326,13972457423214,Turkman,Uylanmagan,Artel,Hisobchi,Bakalavr,13883621.0,premium,2022-03-19
14,Dilmurod,Karimov,Dilnoza,1992-06-27,Erkak,,+7 (774) 205-65-21,Jizzax,"алл. Кузнецкая, д. 32",AA2073976,63759862296795,Qirg'iz,Ajrashgan,Agrobank,Menejer,O‘rta maxsus,15016507.0,admin,2022-12-19
15,Sherzod,Saidov,Behruz,1958-01-23,Erkak,artem44@yahoo.com,+7 (997) 822-2836,Termiz,,AB1525657,40040965141129,O'zbek,Ajrashgan,,Direktor,Bakalavr,27655118.0,admin,2023-11-01
16,Shahnoza,Turaeva,Oybek,1967-12-03,Ayol,nifont_67@terenteva.info,86820999603,Buxoro,"наб. Орджоникидзе, д. 677",AE9336530,31937207328912,Tojik,Uylanmagan,UZTELECOM,Hisobchi,Oliy,20850957.0,admin,
17,Sherzod,Mamadaliyev,Aziz,1979-04-01,Erkak,juri_54@fokin.biz,+7 799 007 6478,Farg‘ona,"ш. Вахитова, д. 956 к. 7/1",AE2655380,68694436669831,Qirg'iz,Turmush qurgan,Artel,Marketolog,Bakalavr,16772886.0,admin,2022-07-07
18,Malika,Aliyeva,Sherzod,1991-08-10,Ayol,mstislavdrozdov@ooo.net,,Andijon,"ул. Путевая, д. 145 стр. 771",AA8305542,31444742464081,Turkman,Turmush qurgan,,Hisobchi,,27958850.0,oddiy,2024-02-27
19,Nilufar,Aliyeva,Jahongir,1957-02-28,Ayol,kallistratmarkov@hotmail.com,+78818253599,Farg‘ona,"наб. Виноградная, д. 637",AA9177446,26749388740399,,,EPAM,Dasturchi,O‘rta maxsus,21524338.0,premium,2021-08-23
20,Dilmurod,Raximov,,1974-06-22,,vasilisa47@maksimov.biz,+70089364442,Xiva,"пр. Менделеева, д. 90",AF7534210,33349171798372,Tojik,Uylanmagan,Yandex,Muhandis,Bakalavr,10520583.0,admin,2024-06-22
21,Nilufar,Karimova,Dilnoza,1992-10-14,Ayol,pavel_96@gmail.com,+7 159 171 33 04,Navoiy,"бул. Белинского, д. 2 к. 2/9",AD5636992,33141266728151,O'zbek,Uylanmagan,EPAM,Dasturchi,O‘rta maxsus,25964126.0,premium,2023-12-31
22,Nilufar,Turaeva,Jahongir,1957-04-04,Ayol,silinjuli@yandex.ru,84508916061,Navoiy,"ш. Народное, д. 6 к. 3",AE7284833,44444340353078,Qozoq,Ajrashgan,Yandex,Hisobchi,Oliy,29232649.0,admin,2025-02-20
23,Aziz,Yusupov,Oybek,1974-04-05,Erkak,petr1978@ip.net,+7 518 919 59 74,Navoiy,"ш. Казанское, д. 68 стр. 54",,93589308934286,O'zbek,Uylanmagan,EPAM,Dasturchi,Magistr,2882473.0,admin,2022-03-23
24,Aziz,Aliyev,Ziyoda,1958-09-26,Erkak,feofanarhipov@gmail.com,8 (436) 462-4508,Navoiy,"ш. Рылеева, д. 2/7 стр. 94",AE7757030,32123001176238,O'zbek,Ajrashgan,IT Park,Direktor,Oliy,24756762.0,oddiy,2021-11-14
25,Dilmurod,Ergashev,Dilmurod,1987-12-23,Erkak,guri_60@yahoo.com,+79277705340,,"ш. Шаумяна, д. 39 к. 62",AC3661181,80479560148198,Rus,Ajrashgan,EPAM,Hisobchi,O‘rta maxsus,11449432.0,premium,2020-02-29
26,Islom,Nazarov,Islom,1968-03-15,Erkak,blinovnikola@miheeva.biz,+7 (009) 505-4242,Farg‘ona,"бул. Запорожский, д. 431 стр. 7/2",AF5508204,65640710840732,Qirg'iz,Ajrashgan,,Marketolog,Bakalavr,8306037.0,oddiy,2024-08-11
27,,,Sherzod,2007-06-03,,platon02@yandex.ru,81660100296,,"алл. Карьерная, д. 2",AB3909855,40235882343007,Rus,Uylanmagan,Yandex,Menejer,Oliy,15647271.0,oddiy,2022-04-17
28,Islom,Nazarov,Behruz,1980-04-28,Erkak,sila_1973@yahoo.com,+79335221996,Toshkent,"ш. Тракторное, д. 66 стр. 9/9",AE7149784,86897010645738,Turkman,Turmush qurgan,Agrobank,O‘qituvchi,Bakalavr,16613040.0,premium,2020-10-16
29,Shahnoza,Yusupova,Zulfiya,1960-07-16,Ayol,martin93@yahoo.com,8 647 950 61 55,Toshkent,"наб. Инженерная, д. 9/7",AB1236609,20300487374080,O'zbek,Turmush qurgan,IT Park,Menejer,Oliy,,premium,2023-08-22
30,Gulbahor,,Gulbahor,1990-02-18,Ayol,innokenti1974@yandex.ru,+7 549 537 9001,Navoiy,"пер. Ленинградский, д. 1 к. 1",AB9966484,19905080518463,Tojik,Turmush qurgan,Yandex,Operator,Bakalavr,11916609.0,oddiy,
31,Nilufar,Raximova,Zulfiya,1998-02-26,Ayol,nikodim1970@ferrero.edu,+7 361 708 3838,Navoiy,"наб. Микрорайон, д. 3 к. 87",,55673633446585,Turkman,Uylanmagan,Agrobank,Direktor,Oliy,6954428.0,premium,2020-07-18
32,Zafar,Yusupov,Zulfiya,1963-12-27,Erkak,jaroslav_2017@rambler.ru,+7 330 406 50 21,Namangan,"ш. Толстого, д. 607",AB7677848,47964015610217,Qozoq,Ajrashgan,IT Park,Direktor,O‘rta maxsus,26796360.0,oddiy,2021-05-17
33,Rayhona,Xudoyberdiyeva,Jasur,1959-12-14,Ayol,innokentiborisov@zao.com,81306304936,Farg‘ona,"пер. Смирнова, д. 8",AA8391223,48185327208294,Turkman,,IT Park,Dasturchi,Magistr,27918198.0,premium,2020-05-09
34,Dilmurod,Yusupov,Zafar,1961-05-25,Erkak,erofe1983@yandex.ru,+7 (680) 275-70-09,Samarqand,"бул. Аэродромный, д. 921 стр. 4/5",AB9399404,35674164811859,Qirg'iz,Ajrashgan,Yandex,,Magistr,10245216.0,oddiy,2023-04-27
35,Ziyoda,Turaeva,Sherzod,2001-01-31,Ayol,braginrjurik@yahoo.com,+7 (927) 459-88-83,Samarqand,"наб. Зои Космодемьянской, д. 1 стр. 12",AE8647518,54429161285255,Rus,Ajrashgan,Ucell,O‘qituvchi,Magistr,4226965.0,premium,2022-11-26
36,Aziz,Raximov,,1958-02-08,Erkak,belozerovavarvara@gmail.com,8 093 328 46 03,Andijon,"ул. Тупиковая, д. 736",AF6560677,79575843897196,Qozoq,Uylanmagan,O‘zbekiston Temir Yo‘llari,Operator,,17460763.0,premium,2024-06-29
37,Madina,Turaeva,Dilmurod,1984-05-08,Ayol,gerasimovfortunat@ip.edu,8 (128) 323-2190,Toshkent,"наб. Машиностроителей, д. 94 стр. 951",AF9733753,91913180261974,Rus,Uylanmagan,Yandex,,Oliy,21021679.0,oddiy,2021-01-15
38,Zafar,Karimov,Baxtiyor,1985-05-19,Erkak,mironovfortunat@yahoo.com,+7 107 351 90 63,Toshkent,"наб. Комсомольская, д. 110 к. 838",AB4162430,93441738900606,Tojik,Turmush qurgan,IT Park,Dasturchi,Oliy,28890712.0,oddiy,
39,Malika,Mamadaliyeva,Nilufar,1980-09-08,Ayol,alina21@oao.info,+7 402 241 34 14,Xiva,"пр. Льва Толстого, д. 70 стр. 525",AD2894343,62101701598867,Qirg'iz,Uylanmagan,IT Park,Dasturchi,Bakalavr,5504047.0,oddiy,2021-11-14
40,Shahnoza,Nazarova,Aziza,1984-07-26,Ayol,,+7 (028) 234-27-52,Andijon,"ш. Степное, д. 84",AC8467025,29639565245715,Qozoq,Ajrashgan,Agrobank,Menejer,Oliy,15612075.0,admin,2021-06-18
41,Oybek,Turaev,Behruz,1958-10-27,Erkak,rogovfortunat@gk.info,8 098 339 14 31,Jizzax,"ш. Черноморское, д. 38",AD4965884,26335103060452,Qozoq,Turmush qurgan,EPAM,Hisobchi,Magistr,28596004.0,,2025-06-08
42,Zulfiya,Turaeva,Zulfiya,2004-03-20,Ayol,mina37@rao.ru,8 (565) 618-75-95,Jizzax,"ул. Лесная, д. 3/3 к. 528",AB3860323,74858219032568,Rus,Uylanmagan,UZTELECOM,Muhandis,Bakalavr,7854765.0,premium,2024-07-03
43,Islom,Aliyev,Oybek,1967-09-29,Erkak,grigorevataisija@mail.ru,+7 073 158 30 68,Namangan,"бул. Коммунаров, д. 938",AF1119316,71757319767469,,Uylanmagan,Beeline,Dasturchi,Magistr,18923395.0,oddiy,2025-03-29
44,Zulfiya,Xudoyberdiyeva,Jasur,1973-06-13,Ayol,innokenti1991@hotmail.com,+78427676250,Termiz,"ш. Таежное, д. 604 к. 296",AD2799943,97417498959413,O'zbek,Turmush qurgan,Beeline,Operator,Bakalavr,26327617.0,admin,2024-05-04
45,Islom,Turaev,Aziz,1961-07-13,Erkak,pankrati1997@mail.ru,+7 (280) 457-88-53,Jizzax,"пр. Красноярский, д. 1 стр. 44",AE1356359,70412339218264,Rus,Ajrashgan,Ucell,O‘qituvchi,,23464189.0,premium,2024-11-14
46,Shahnoza,Ergasheva,Jasur,1958-09-08,Ayol,ljudmila15@rao.biz,8 103 490 0142,Termiz,"ул. Московская, д. 33 к. 9/9",AA5565531,40741979179217,Tojik,,EPAM,O‘qituvchi,O‘rta maxsus,24791757.0,premium,2023-11-12
47,Ziyoda,Raximova,Dilmurod,1994-01-19,Ayol,serafim_2016@ao.biz,80464093813,Termiz,"ул. Л.Толстого, д. 8/6 стр. 2/9",AB1704312,13927085466999,Qirg'iz,Uylanmagan,NBU,O‘qituvchi,Magistr,3912831.0,premium,2025-06-23
48,Aziz,Ergashev,Jasur,1980-03-25,Erkak,evdokim_36@oao.info,+7 445 510 31 21,Jizzax,"ул. Крупской, д. 95",AE9375638,57285301009261,Qirg'iz,Ajrashgan,Agrobank,Muhandis,Magistr,6217238.0,admin,2024-07-18
49,Aziz,Xudoyberdiyev,Jasur,1999-10-22,Erkak,ustin32@permenergosbit.biz,+72169762170,Samarqand,"ул. Ударная, д. 5/5 к. 9/4",AD3183875,47656923036555,Turkman,Turmush qurgan,UZTELECOM,Muhandis,,16388433.0,premium,2023-10-20
50,Nilufar,Xudoyberdiyeva,Zulfiya,1984-04-19,Ayol,saveliefimov@rambler.ru,8 (295) 056-5365,Termiz,"ш. Энергетическое, д. 87 к. 149",AA3698331,65591037846551,O'zbek,,IT Park,Hisobchi,Magistr,10269692.0,oddiy,2021-02-21
51,Zafar,Raximov,,2003-06-26,Erkak,varvara_66@belova.com,8 567 349 06 19,Termiz,"алл. Беляева, д. 836 к. 588",AC7806736,17177231153824,Rus,Uylanmagan,UZTELECOM,O‘qituvchi,Bakalavr,18800798.0,oddiy,2023-12-20
52,Nilufar,Karimova,Dilmurod,1992-01-26,Ayol,ratmir65@liga.org,8 (755) 458-5449,Termiz,"ул. Первомайская, д. 7 к. 52",AC9419315,60479944989817,O'zbek,Uylanmagan,UZTELECOM,,Magistr,11896487.0,admin,2025-06-04
53,Madina,Saidova,Rayhona,1999-06-14,Ayol,erast95@yahoo.com,8 (279) 593-85-06,Namangan,"алл. Блюхера, д. 52 стр. 739",AF9172456,42004725113792,Tojik,Ajrashgan,Ucell,Dasturchi,Bakalavr,24277951.0,oddiy,
54,Nilufar,Turaeva,Zulfiya,2006-03-18,Ayol,bogdan_95@yandex.ru,+71233116098,Namangan,"пр. Пригородный, д. 115 к. 481",AC3488175,59303992470271,Turkman,Turmush qurgan,IT Park,Direktor,Oliy,18625518.0,premium,2024-08-03
55,,Yusupova,,1973-07-03,Ayol,savinafaina@rambler.ru,+70028059125,Toshkent,"пр. Слободской, д. 5 к. 5",AB2546159,39473309191090,,Turmush qurgan,IT Park,O‘qituvchi,Oliy,10250973.0,oddiy,2022-12-29
56,Baxtiyor,Nazarov,Aziz,1993-10-12,Erkak,rusakovaija@rambler.ru,+7 617 347 5958,Toshkent,"наб. Микрорайон, д. 59",AE3657034,90964172113167,Tojik,Ajrashgan,,Dasturchi,Bakalavr,26281432.0,oddiy,2020-04-01
57,Aziza,Ergasheva,Nilufar,,Ayol,ermakovparfen@gmail.com,8 (705) 069-12-70,Navoiy,"наб. Прудовая, д. 6 к. 1/5",AE6830369,49141683365494,O'zbek,Turmush qurgan,Agrobank,Direktor,Bakalavr,16520993.0,admin,2024-02-09
58,Jasur,Turaev,Malika,1989-05-04,Erkak,,8 255 184 49 62,Toshkent,"ул. Песчаная, д. 5/3 к. 6/6",AA8679401,78704072452992,Qirg'iz,Uylanmagan,Artel,Dasturchi,Bakalavr,16148764.0,oddiy,2023-06-19
59,Dilnoza,Yusupova,Malika,1959-05-20,Ayol,nadezhda56@zao.com,8 247 875 4340,Andijon,"бул. Стахановский, д. 5/4",AC3662437,64942424392999,Turkman,Uylanmagan,Ucell,O‘qituvchi,O‘rta maxsus,17049585.0,oddiy,2020-11-13
60,Shahnoza,Aliyeva,Oybek,1981-12-31,Ayol,jan_36@komus.net,,Termiz,"бул. Ульяновский, д. 771 к. 3/6",AE7961845,43666399646156,O'zbek,Turmush qurgan,NBU,Muhandis,Oliy,7875690.0,premium,2025-08-19
61,Shahnoza,Aliyeva,Jasur,1972-05-13,Ayol,makarmiheev@oao.info,89962360296,Samarqand,"алл. Металлистов, д. 5/8",AD7431578,91851988336452,Qirg'iz,Turmush qurgan,UZTELECOM,Hisobchi,Magistr,20517588.0,admin,2023-10-29
62,Oybek,Nazarov,Baxtiyor,1992-11-20,Erkak,samuil_1984@zao.com,+7 (863) 564-52-74,Toshkent,"пр. Элеваторный, д. 659 стр. 714",AE5299592,54954516172164,Qirg'iz,Turmush qurgan,IT Park,Menejer,Oliy,4124344.0,oddiy,2023-06-21
63,Shahnoza,Raximova,Aziz,,Ayol,belovpolikarp@zao.info,8 852 879 77 33,Jizzax,"пр. Юности, д. 5/2 стр. 1/3",AB1696170,53505131545221,Tojik,Turmush qurgan,Ucell,Marketolog,Oliy,9616069.0,admin,2021-02-11
64,Madina,Ergasheva,Malika,,Ayol,rdrozdov@ip.edu,8 (922) 030-52-08,Farg‘ona,"ш. Пионерское, д. 746",AF7475218,51351744351569,Qirg'iz,Ajrashgan,Agrobank,Muhandis,O‘rta maxsus,,admin,2020-02-23
65,Malika,Yusupova,,1968-10-19,Ayol,simonkarpov@gmail.com,8 (331) 309-52-99,Namangan,"пер. Кооперативный, д. 61",AE9643625,31072014344141,Qirg'iz,Turmush qurgan,Beeline,Muhandis,Oliy,28625266.0,oddiy,2022-04-20
66,Aziz,,Zafar,,Erkak,viktorin1982@sibtred.com,+7 616 414 10 66,Termiz,"алл. Бульварная, д. 73 к. 680",AA6857149,92495326641714,Turkman,Turmush qurgan,UZTELECOM,Hisobchi,Oliy,26190293.0,admin,2024-10-04
67,Nilufar,Yusupova,Oybek,1986-06-02,Ayol,mili70@rambler.ru,+7 831 351 2515,Samarqand,"пер. 50 лет ВЛКСМ, д. 8 к. 356",AC9974197,65178355100712,Tojik,Ajrashgan,EPAM,Muhandis,Oliy,20378481.0,oddiy,2024-12-17
68,Aziza,Raximova,Zulfiya,1956-04-14,Ayol,nikiforovermola@gruppa.ru,+7 222 227 12 94,Jizzax,"ш. Кутузова, д. 9 к. 122",AA9561866,28290177749125,Qozoq,Uylanmagan,UZTELECOM,O‘qituvchi,Magistr,12319388.0,premium,2022-05-11
69,Zafar,Yusupov,,1987-09-08,Erkak,lsidorova@yandex.ru,+7 (386) 027-53-41,Jizzax,"пр. Черемушки, д. 43 к. 6/8",AC1578038,81248248246631,Qirg'iz,Turmush qurgan,IT Park,Muhandis,Oliy,7552931.0,oddiy,2022-04-28
70,Dilmurod,Xudoyberdiyev,,1967-01-28,Erkak,beljakovizjaslav@yandex.ru,8 (007) 775-2849,Farg‘ona,"ул. Шахтерская, д. 2 к. 5",AD7040067,92570179123510,O'zbek,Turmush qurgan,UZTELECOM,Operator,Bakalavr,11678153.0,admin,2023-09-11
71,Gulbahor,Raximova,Baxtiyor,1998-11-20,Ayol,rselezneva@yandex.ru,8 (794) 651-6509,Toshkent,"алл. Тульская, д. 91 стр. 43",AC9583229,81201438227571,Rus,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Operator,O‘rta maxsus,10719531.0,admin,2023-03-23
72,Aziza,Raximova,Rayhona,1963-01-28,Ayol,timurarhipov@zao.org,8 473 488 7198,Jizzax,,AA6063216,36267546953558,O'zbek,Ajrashgan,,Dasturchi,Magistr,8433200.0,premium,2022-12-22
73,Dilmurod,Nazarov,Malika,1976-03-20,Erkak,kazakovazinaida@oao.com,+7 (948) 460-1215,Buxoro,"ул. Энергетиков, д. 4 к. 8",AB2192440,50118602261342,Qirg'iz,Uylanmagan,NBU,Direktor,Magistr,5004285.0,admin,2025-09-22
74,Madina,Yusupova,Zafar,1990-07-10,Ayol,roman_1992@yandex.ru,+7 835 364 0707,,"алл. Толстого, д. 3/3 к. 202",AA1601198,94264983166530,Qirg'iz,Uylanmagan,UZTELECOM,Dasturchi,O‘rta maxsus,28083943.0,admin,2024-06-25
75,Dilnoza,Yusupova,Sherzod,1994-04-24,Ayol,krasilnikovaeleonora@oao.com,82667604758,Buxoro,"наб. Мирная, д. 8/1",AC4056201,,Qozoq,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Direktor,O‘rta maxsus,20506659.0,admin,2022-05-28
76,Zafar,Raximov,,1968-08-11,Erkak,hsharov@lukina.ru,+7 (533) 157-7841,Namangan,"ш. Красноармейское, д. 40",AE7132727,77219510361482,Tojik,Turmush qurgan,,Dasturchi,Oliy,21588992.0,,2020-02-10
77,Jahongir,Turaev,Jahongir,1973-06-16,Erkak,vsemil_66@mail.ru,+7 611 243 7213,Buxoro,"пр. Огородный, д. 106",AD8347232,21447548742650,Qozoq,Turmush qurgan,EPAM,Muhandis,Bakalavr,4839817.0,oddiy,2023-09-18
78,Gulbahor,Karimova,Jahongir,,Ayol,ovchinnikovdenis@mail.ru,82698978529,Navoiy,"ш. Толстого, д. 5",AB6183711,81024219386618,Rus,Ajrashgan,Agrobank,Direktor,Magistr,21081344.0,premium,2020-08-01
79,Ziyoda,Mamadaliyeva,Ziyoda,1969-10-11,Ayol,krasilnikovatamara@hotmail.com,+76651134666,Navoiy,"наб. Тополиная, д. 7/9 к. 97",AC7315470,69481977880278,Tojik,Uylanmagan,Beeline,Operator,Bakalavr,20698214.0,admin,2022-02-25
80,Zafar,Mamadaliyev,Shahnoza,,Erkak,nikonovalora@yandex.ru,8 459 974 28 62,Termiz,"бул. Короленко, д. 7",AC3065140,34975389705563,Tojik,Uylanmagan,Artel,Dasturchi,Oliy,16291087.0,premium,
81,Dilnoza,Raximova,Madina,1961-06-12,Ayol,fadeevagalina@belousov.edu,8 (918) 760-5250,Namangan,"ш. Победы, д. 99",AF8124941,46622585261858,Turkman,Uylanmagan,EPAM,Hisobchi,Oliy,26190545.0,admin,2024-03-01
82,Dilnoza,Nazarova,,1999-11-24,Ayol,apollinari_2002@zao.ru,,Navoiy,"пр. Учительский, д. 6/1 к. 756",AF2263119,80430420646769,Qirg'iz,Ajrashgan,UZTELECOM,Marketolog,Oliy,20721028.0,oddiy,2024-04-04
83,Baxtiyor,Raximov,Zafar,1961-11-21,,radislav_1988@ip.com,8 (919) 224-87-83,,"пр. Нагорный, д. 684",AC4026585,98560128607524,Qirg'iz,Turmush qurgan,Ucell,Marketolog,Bakalavr,4339610.0,admin,2022-09-06
84,Malika,Mamadaliyeva,Islom,1978-12-26,Ayol,rpahomov@hotmail.com,+7 (278) 588-7330,Navoiy,"бул. Юбилейный, д. 7/5",AD2214301,46388646001142,Tojik,Turmush qurgan,Agrobank,,Magistr,17330576.0,admin,2023-03-07
85,Sherzod,Saidov,Islom,1995-10-20,,amos_1995@yahoo.com,8 (143) 675-00-71,Xiva,"наб. Титова, д. 2/1 к. 7/2",AE9881676,32133179201213,O'zbek,Uylanmagan,Beeline,O‘qituvchi,Magistr,8342266.0,oddiy,
86,Malika,Raximova,Oybek,1982-01-12,Ayol,fekla_1999@rao.org,+77359684667,Navoiy,"алл. Владимирская, д. 97 стр. 40",AC6316722,18298800819521,Qirg'iz,Ajrashgan,Yandex,Hisobchi,Bakalavr,14364967.0,premium,2023-03-17
87,Jasur,Ergashev,Nilufar,1985-12-10,Erkak,sorokinhariton@aksenova.edu,+76869136590,Toshkent,"ш. Луначарского, д. 1 к. 2",AB6895042,71204073634336,Qirg'iz,Turmush qurgan,Agrobank,O‘qituvchi,Bakalavr,6145607.0,premium,2020-11-09
88,Gulbahor,Turaeva,Shahnoza,2001-08-17,Ayol,florentin56@ignatev.net,+73180326920,Namangan,"алл. Ворошилова, д. 944",AE6579278,93391653842618,Tojik,Uylanmagan,Ucell,Marketolog,O‘rta maxsus,23075437.0,admin,2025-03-11
89,Shahnoza,Saidova,Rayhona,2005-05-16,Ayol,feoktist_1983@gmail.com,8 429 590 89 95,Samarqand,"наб. Медицинская, д. 82",AF2989361,41661627378417,Qozoq,Uylanmagan,,Marketolog,,12318471.0,admin,2022-05-12
90,Shahnoza,Nazarova,Baxtiyor,1986-02-07,Ayol,konstantinignatov@rambler.ru,8 710 863 4494,Toshkent,"наб. Микрорайон, д. 5/5 к. 96",AB8233224,41084221456644,Qozoq,Ajrashgan,Artel,Menejer,Bakalavr,27135261.0,admin,2022-07-24
91,Behruz,Turaev,Zafar,1984-01-26,Erkak,fomichevemmanuil@ooo.info,8 236 594 4129,Namangan,"пр. Сиреневый, д. 5 стр. 12",AE1292676,,Qirg'iz,Turmush qurgan,Beeline,Muhandis,Oliy,8569929.0,admin,
92,Jahongir,Mamadaliyev,Nilufar,1957-03-19,Erkak,fedosinosov@gazenergoservis.biz,8 586 644 0469,Toshkent,"ул. Пригородная, д. 993",AD8803220,36926255300773,Turkman,Turmush qurgan,Agrobank,Menejer,O‘rta maxsus,19225782.0,oddiy,2023-10-07
93,Aziza,Turaeva,Sherzod,,Ayol,fedor2019@yahoo.com,+73459331817,Toshkent,"ул. Запорожская, д. 5",AF7511779,64914139004082,O'zbek,Uylanmagan,IT Park,Operator,Bakalavr,27368031.0,oddiy,2024-11-28
94,Rayhona,Nazarova,Shahnoza,1992-03-17,Ayol,lazarevsamson@hotmail.com,8 (017) 182-7264,Toshkent,"алл. Мостовая, д. 5 к. 6/8",AA6611029,58973316151516,Rus,Ajrashgan,UZTELECOM,Direktor,O‘rta maxsus,7535226.0,,2022-10-20
95,Malika,Raximova,Rayhona,2000-05-23,Ayol,kondratevavarvara@zao.net,+7 617 057 6255,,"наб. Южная, д. 7/2 стр. 25",AA5966889,93292010944700,Tojik,Uylanmagan,O‘zbekiston Temir Yo‘llari,Menejer,Oliy,14602165.0,admin,2021-05-05
96,Islom,Nazarov,Ziyoda,1978-05-23,Erkak,evseevanina@oao.ru,8 (790) 687-22-52,Termiz,"бул. Больничный, д. 4/8 к. 3",AD1797458,37619555217699,Turkman,,IT Park,Dasturchi,Oliy,11902652.0,admin,2023-06-17
97,,Saidova,Aziza,1961-06-21,Ayol,eduard1986@gmail.com,+7 400 163 4388,Namangan,,AC2878698,15247122293949,Rus,Turmush qurgan,Beeline,Dasturchi,Bakalavr,7428907.0,premium,2024-05-24
98,Ziyoda,Raximova,,1957-12-29,Ayol,oshirjaev@ip.com,+77174204106,Namangan,"ш. Радужное, д. 602 стр. 512",AE3786664,56432203473077,O'zbek,Turmush qurgan,Beeline,,Magistr,13748959.0,oddiy,2023-05-26
99,Sherzod,Turaev,Zulfiya,1995-06-10,Erkak,arhipovmilan@yahoo.com,8 (023) 043-10-97,Navoiy,"алл. Покровская, д. 363 к. 6",AC7020661,58684408946499,Tojik,,O‘zbekiston Temir Yo‘llari,Hisobchi,O‘rta maxsus,7080700.0,admin,2020-10-03
100,Sherzod,Karimov,Islom,1959-09-15,Erkak,pblinova@safmar.net,8 (793) 672-4161,Jizzax,"пр. Мирный, д. 2/4 к. 8",AA4791379,92279116160454,Turkman,Turmush qurgan,Yandex,Direktor,Oliy,26686853.0,premium,2025-02-08
101,Shahnoza,Xudoyberdiyeva,Gulbahor,,Ayol,haritonovsaveli@rambler.ru,8 609 681 80 94,Xiva,"алл. Курская, д. 93",AB7631711,46189326147995,Turkman,Ajrashgan,EPAM,,Oliy,9783869.0,premium,2023-07-04
